id,consum_activity,service_type,is_allow_report,market_activ_6_mon,market_activ_cur_mon,duration,promo,pop_cat_goods,mean_view_cat_per_visit,unpaid_goods_per_quater,serv_error,webpage_per_visit,last_last_rev,last_rev,current_rev,last_dur_minutes,current_dur_minutes
215709,Снизилась,стандарт,нет,4.6,5,352,0.89,Домашний текстиль,1,3,2,6,5221.5,4755.0,5606.3,12,10
215710,Снизилась,премиум,да,3.5,3,658,0.98,Товары для детей,3,0,2,5,4052.0,4402.0,3821.9,7,14
215711,Снизилась,премиум,да,2.4,5,1065,0.3,Косметика и аксесуары,3,5,1,4,5251.0,4444.0,4897.4,7,9
215712,Снизилась,премиум,да,3.5,4,794,0.93,Кухонная посуда,3,7,8,6,5383.5,4668.0,5955.5,12,10
215713,Снизилась,стандарт,да,4.6,5,293,0.24,Товары для детей,1,3,3,3,4821.0,4872.0,5221.4,12,14
215714,Снизилась,стандарт,да,3.8,5,694,0.4,Кухонная посуда,3,7,4,6,5854.0,4864.0,7063.0,13,9
215715,Снизилась,премиум,да,3.6,5,873,0.39,Товары для детей,3,2,2,5,3716.0,4691.0,4600.0,10,10
215716,Снизилась,стандарт,да,2.4,4,952,0.3,Техника для красоты и здоровья,3,5,2,3,3067.0,4165.0,3343.9,13,14
215717,Снизилась,стандарт,да,4.8,4,507,0.98,Косметика и аксесуары,2,0,4,3,6320.5,4738.0,6592.2,8,8
215718,Снизилась,стандарт,нет,3.1,5,447,0.25,Домашний текстиль,2,4,6,4,5562.5,4217.0,6220.3,8,9
215719,Снизилась,премиум,да,2.4,5,460,0.22,Косметика и аксесуары,1,6,8,4,5361.0,4260.0,6111.1,10,11
215720,Снизилась,премиум,да,3.9,4,449,0.4,Косметика и аксесуары,3,1,1,5,5157.5,4727.0,5188.7,8,7
215721,Снизилась,стандарт,да,3.9,4,906,0.33,Товары для детей,3,1,3,1,4636.0,4513.0,4447.5,6,10
215722,Снизилась,премиум,да,3.9,3,646,0.39,Косметика и аксесуары,3,1,6,7,4782.5,4778.0,5182.9,10,9
215723,Снизилась,премиум,да,3.8,4,444,0.94,Кухонная посуда,2,4,3,2,5894.0,4964.0,6081.2,8,11
215724,Снизилась,стандарт,нет,2.4,3,731,0.22,Домашний текстиль,3,3,3,4,4395.5,4226.0,4849.2,10,11
215725,Снизилась,стандарт,да,2.4,5,846,0.4,Товары для детей,2,4,4,5,4995.0,4908.0,5385.0,10,14
215726,Снизилась,стандарт,да,5.6,5,402,0.22,Мелкая бытовая техника и электроника,2,4,4,5,5894.5,5008.0,6271.5,8,7
215727,Снизилась,стандарт,да,4.4,4,598,0.39,Косметика и аксесуары,2,3,5,5,5421.5,4622.0,5339.6,9,12
215728,Снизилась,стандарт,нет,4.0,3,780,0.3,Косметика и аксесуары,4,0,2,6,4652.0,4700.0,4863.9,11,9
215729,Снизилась,стандарт,да,3.9,4,791,0.93,Кухонная посуда,4,0,2,5,5313.5,4850.0,5444.8,9,11
215730,Снизилась,стандарт,да,3.1,4,196,0.4,Мелкая бытовая техника и электроника,1,4,3,5,4691.0,4460.0,4275.0,10,8
215731,Снизилась,стандарт,да,3.5,4,800,0.22,Домашний текстиль,4,5,2,4,4952.0,4652.0,4651.7,9,11
215732,Снизилась,стандарт,нет,3.5,4,663,0.98,Косметика и аксесуары,3,6,4,3,5810.0,4955.0,5772.3,16,11
215733,Снизилась,стандарт,нет,4.0,4,482,0.24,Косметика и аксесуары,2,8,1,5,4895.0,4262.0,4874.2,9,14
215734,Снизилась,премиум,да,3.8,4,1051,0.22,Косметика и аксесуары,2,4,3,7,5141.0,4607.0,5299.6,5,11
215735,Снизилась,премиум,нет,4.6,4,511,0.99,Косметика и аксесуары,2,2,5,4,6094.5,4488.0,6747.1,11,9
215736,Снизилась,премиум,да,5.6,3,540,0.36,Косметика и аксесуары,2,4,2,8,5049.0,4734.0,5168.6,8,11
215737,Снизилась,стандарт,да,0.9,4,225,0.36,Косметика и аксесуары,2,4,2,3,5126.0,4679.0,5291.1,9,10
215738,Снизилась,премиум,нет,4.6,5,187,0.23,Мелкая бытовая техника и электроника,1,3,3,2,4773.0,4500.0,4445.4,9,7
215739,Снизилась,стандарт,нет,3.4,4,875,0.25,Мелкая бытовая техника и электроника,2,3,1,3,5186.5,4258.0,5156.6,9,9
215740,Снизилась,премиум,нет,3.5,4,769,0.3,Домашний текстиль,3,3,6,7,6314.5,4774.0,6321.0,13,7
215741,Снизилась,стандарт,да,4.8,4,563,0.94,Товары для детей,1,5,7,4,3960.0,4809.0,4594.4,10,14
215742,Снизилась,стандарт,да,4.6,4,373,0.25,Мелкая бытовая техника и электроника,2,2,2,5,4916.0,4595.0,5594.6,13,10
215743,Снизилась,премиум,да,4.1,4,375,0.32,Косметика и аксесуары,1,6,3,3,5862.0,4332.0,5985.5,11,8
215744,Снизилась,стандарт,да,1.7,5,439,0.31,Кухонная посуда,1,5,2,1,5421.5,4370.0,6016.9,6,9
215745,Снизилась,стандарт,да,1.7,4,550,0.94,Мелкая бытовая техника и электроника,4,1,3,6,5654.5,4990.0,6126.4,9,9
215746,Снизилась,премиум,да,4.4,4,987,0.35,Техника для красоты и здоровья,3,1,8,6,3222.0,4932.0,4169.7,10,9
215747,Снизилась,стандарт,да,3.5,5,452,0.93,Товары для детей,1,5,5,4,3555.0,4168.0,4089.3,10,10
215748,Прежний уровень,стандарт,нет,4.3,4,534,0.18,Кухонная посуда,3,1,4,10,5083.0,4552.0,5673.2,13,13
215749,Прежний уровень,премиум,да,5.8,5,624,0.3,Техника для красоты и здоровья,4,3,6,14,5190.0,4928.0,5092.5,14,17
215750,Прежний уровень,стандарт,да,4.8,5,634,0.21,Товары для детей,4,5,3,10,3319.0,4730.0,4672.3,13,14
215751,Прежний уровень,стандарт,да,4.1,4,957,0.17,Техника для красоты и здоровья,5,2,6,9,5340.0,4769.0,5021.5,14,12
215752,Прежний уровень,стандарт,нет,4.0,4,475,0.3,Мелкая бытовая техника и электроника,3,3,7,7,5188.5,4635.0,5798.2,13,8
215753,Прежний уровень,премиум,да,5.5,5,191,0.17,Косметика и аксесуары,6,0,4,8,4395.5,4808.0,4168.0,15,15
215754,Прежний уровень,премиум,да,4.6,3,937,0.14,Домашний текстиль,5,2,4,14,5493.0,4752.0,6265.2,7,12
215755,Прежний уровень,стандарт,да,4.4,4,216,0.18,Техника для красоты и здоровья,2,3,5,13,4000.0,4814.0,4835.9,19,7
215756,Прежний уровень,стандарт,нет,5.4,4,923,0.15,Кухонная посуда,2,1,6,10,5205.5,4943.0,5563.0,18,17
215757,Прежний уровень,стандарт,да,4.9,4,998,0.4,Товары для детей,3,0,2,8,4664.0,4901.0,4557.4,18,18
215758,Прежний уровень,премиум,да,5.7,5,486,0.15,Мелкая бытовая техника и электроника,4,4,4,9,5836.0,5095.0,6608.2,14,12
215759,Прежний уровень,премиум,да,3.6,5,589,0.21,Кухонная посуда,3,1,4,6,5215.0,5329.0,5246.2,20,12
215760,Прежний уровень,премиум,да,3.3,3,949,0.24,Техника для красоты и здоровья,3,2,4,6,4989.0,5089.0,5206.1,14,14
215761,Прежний уровень,стандарт,нет,5.7,4,565,0.14,Домашний текстиль,5,1,4,12,4252.0,5023.0,3713.8,12,18
215762,Прежний уровень,стандарт,да,5.3,5,822,0.28,Товары для детей,4,3,2,11,4931.0,5337.0,5413.3,18,12
215763,Прежний уровень,стандарт,нет,3.7,3,300,0.23,Мелкая бытовая техника и электроника,3,3,4,4,6219.5,5228.0,7208.8,12,14
215764,Прежний уровень,стандарт,да,4.0,4,539,0.11,Косметика и аксесуары,2,2,5,7,5878.5,4359.0,7325.4,15,5
215765,Прежний уровень,стандарт,нет,3.9,4,388,0.6,Косметика и аксесуары,4,0,4,8,4834.0,4528.0,5229.2,18,17
215766,Прежний уровень,стандарт,да,4.3,4,857,0.14,Кухонная посуда,2,1,6,4,4850.0,4904.0,4933.2,12,20
215767,Прежний уровень,премиум,да,4.1,4,316,0.12,Товары для детей,2,3,4,6,4729.0,5282.0,4379.3,14,18
215768,Прежний уровень,стандарт,да,4.7,5,744,0.28,Техника для красоты и здоровья,4,0,5,9,4081.0,4921.0,4939.0,17,9
215769,Прежний уровень,стандарт,нет,3.6,3,553,0.23,Домашний текстиль,5,3,3,10,4976.5,4495.0,5523.8,12,9
215770,Прежний уровень,стандарт,да,5.4,5,749,0.14,Товары для детей,5,2,4,9,5298.0,5175.0,5321.4,20,14
215771,Прежний уровень,стандарт,да,5.6,4,272,0.17,Косметика и аксесуары,4,3,4,6,5139.5,5060.0,5338.4,13,22
215772,Прежний уровень,стандарт,да,4.6,4,321,0.23,Товары для детей,4,2,4,12,3763.0,4802.0,4793.9,15,17
215773,Прежний уровень,стандарт,да,5.1,5,831,0.12,Косметика и аксесуары,2,1,3,10,4515.0,5103.0,4135.4,13,16
215774,Прежний уровень,стандарт,да,5.4,3,657,0.11,Техника для красоты и здоровья,2,4,2,9,5719.0,5542.0,5695.6,16,16
215775,Прежний уровень,стандарт,нет,5.0,4,157,0.15,Мелкая бытовая техника и электроника,5,0,5,13,4028.0,4934.0,3372.8,19,16
215776,Прежний уровень,стандарт,нет,4.4,4,467,0.15,Техника для красоты и здоровья,2,2,2,10,4388.0,4712.0,4798.8,15,11
215777,Прежний уровень,премиум,да,4.4,4,849,0.28,Товары для детей,6,2,3,13,4670.0,4908.0,5006.7,14,20
215778,Прежний уровень,стандарт,да,4.3,4,609,0.24,Товары для детей,4,3,5,15,4911.0,5364.0,5433.6,20,19
215779,Прежний уровень,премиум,да,4.3,3,242,0.16,Техника для красоты и здоровья,4,5,2,11,5949.0,5142.0,5379.6,19,15
215780,Прежний уровень,премиум,да,4.1,3,728,0.28,Косметика и аксесуары,4,1,2,5,5404.5,4950.0,5928.4,12,21
215781,Прежний уровень,премиум,да,4.4,5,937,0.17,Кухонная посуда,5,1,8,6,5029.0,4900.0,5270.8,14,16
215782,Прежний уровень,стандарт,да,5.2,3,457,0.17,Товары для детей,4,1,5,5,5597.0,5624.0,5750.4,12,10
215783,Прежний уровень,стандарт,нет,5.5,3,159,0.25,Домашний текстиль,5,3,3,12,4626.0,4671.0,4717.0,21,8
215784,Прежний уровень,стандарт,да,3.4,4,207,0.3,Домашний текстиль,6,5,4,14,4165.0,4903.0,3655.4,21,14
215785,Прежний уровень,премиум,да,4.9,4,899,0.24,Домашний текстиль,4,4,2,17,5294.0,5045.0,5639.8,17,16
215786,Прежний уровень,премиум,да,3.4,4,834,0.13,Техника для красоты и здоровья,3,1,3,7,3965.0,4529.0,4583.8,11,8
215787,Прежний уровень,стандарт,да,5.3,4,808,0.23,Косметика и аксесуары,3,0,5,7,5282.0,5261.0,5430.2,13,14
215788,Прежний уровень,стандарт,да,3.3,4,205,0.13,Домашний текстиль,3,2,4,7,5341.5,5364.0,5452.0,17,19
215789,Прежний уровень,премиум,да,3.6,3,985,0.26,Мелкая бытовая техника и электроника,5,2,8,5,5766.0,4908.0,6639.6,16,20
215790,Прежний уровень,премиум,да,4.9,3,400,0.13,Мелкая бытовая техника и электроника,2,4,4,12,5602.0,4897.0,6343.0,10,16
215791,Прежний уровень,премиум,да,5.5,5,634,0.14,Домашний текстиль,3,5,3,11,5872.0,5095.0,6675.4,15,6
215792,Прежний уровень,стандарт,да,4.1,4,529,0.14,Товары для детей,4,5,7,13,5391.0,5012.0,5192.1,17,17
215793,Прежний уровень,премиум,да,4.3,4,855,0.16,Домашний текстиль,5,4,2,7,5067.0,4530.0,5662.4,14,16
215794,Прежний уровень,премиум,да,5.5,4,597,0.15,Косметика и аксесуары,3,4,3,8,6045.5,4964.0,7112.8,16,18
215795,Прежний уровень,премиум,да,3.9,3,1061,0.16,Мелкая бытовая техника и электроника,3,1,8,8,5055.5,4583.0,5595.0,12,19
215796,Снизилась,стандарт,нет,6.3,4,527,0.21,Домашний текстиль,5,2,5,10,4582.0,4802.0,4903.1,16,16
215797,Снизилась,стандарт,нет,4.9,3,414,0.94,Домашний текстиль,6,1,4,7,3926.0,4550.0,4596.8,14,17
215798,Снизилась,стандарт,да,4.3,5,623,0.24,Мелкая бытовая техника и электроника,2,2,8,12,4656.5,4883.0,4590.2,15,16
215799,Снизилась,премиум,да,4.3,5,1022,0.28,Техника для красоты и здоровья,4,1,4,9,3798.0,4648.0,4665.1,11,16
215800,Снизилась,стандарт,да,4.4,4,978,0.28,Кухонная посуда,2,0,3,5,5439.5,5036.0,5919.2,11,14
215801,Снизилась,стандарт,да,4.0,5,479,0.94,Кухонная посуда,4,4,4,14,5345.5,4570.0,6147.6,12,9
215802,Снизилась,стандарт,да,3.4,4,698,0.16,Кухонная посуда,4,3,4,11,4955.0,5154.0,5257.9,11,20
215803,Снизилась,стандарт,да,3.8,4,670,0.28,Товары для детей,4,4,7,9,5601.5,5273.0,6016.2,9,22
215804,Снизилась,стандарт,да,3.3,5,673,0.99,Товары для детей,3,2,1,7,5238.5,4877.0,5681.8,17,14
215805,Снизилась,стандарт,нет,4.1,4,808,0.15,Мелкая бытовая техника и электроника,4,2,3,13,4126.0,4691.0,4746.1,12,16
215806,Снизилась,стандарт,нет,5.8,3,660,0.16,Товары для детей,4,1,3,12,4787.5,4507.0,5160.6,16,7
215807,Снизилась,стандарт,да,5.5,5,503,0.2,Домашний текстиль,5,5,2,6,4914.0,5601.0,4448.6,14,18
215808,Снизилась,стандарт,да,4.0,4,417,0.25,Товары для детей,5,5,5,11,3327.0,4353.0,4346.2,17,5
215809,Снизилась,премиум,да,3.9,3,208,0.24,Косметика и аксесуары,5,2,4,8,4607.0,4997.0,4399.0,19,13
215810,Снизилась,стандарт,нет,4.4,4,417,0.23,Товары для детей,3,0,6,10,5515.0,4663.0,6383.4,16,10
215811,Снизилась,премиум,да,3.2,5,786,0.25,Косметика и аксесуары,4,0,8,14,4553.0,5210.0,4113.6,23,21
215812,Снизилась,стандарт,нет,3.3,3,563,0.12,Домашний текстиль,4,1,5,16,5831.0,4439.0,7167.4,9,10
215813,Снизилась,стандарт,да,3.6,5,446,0.17,Домашний текстиль,6,2,4,12,5034.5,5051.0,5150.2,15,20
215814,Снизилась,премиум,да,3.6,4,296,0.15,Домашний текстиль,3,5,2,15,5132.0,4733.0,5555.8,19,10
215815,Снизилась,стандарт,да,4.9,5,339,0.24,Косметика и аксесуары,3,2,4,12,5459.5,4735.0,6217.4,13,11
215816,Снизилась,стандарт,нет,5.7,5,495,0.25,Косметика и аксесуары,4,3,4,3,4917.5,5201.0,4801.8,12,19
215817,Снизилась,стандарт,да,3.3,4,320,0.28,Домашний текстиль,5,4,3,13,5945.0,5444.0,6509.2,16,10
215818,Снизилась,стандарт,да,4.6,5,121,0.3,Кухонная посуда,4,5,3,11,3623.0,4416.0,4440.7,16,13
215819,Снизилась,стандарт,нет,3.2,3,609,0.29,Товары для детей,5,3,2,11,4193.0,4869.0,4909.3,10,9
215820,Снизилась,стандарт,да,4.0,4,955,0.95,Товары для детей,4,4,7,11,4353.5,5324.0,3642.4,18,14
215821,Снизилась,стандарт,да,4.7,5,508,0.28,Косметика и аксесуары,4,3,5,9,5989.0,5017.0,6961.4,20,15
215822,Снизилась,премиум,да,4.4,4,633,0.14,Товары для детей,3,4,2,17,4036.0,4928.0,4939.5,14,15
215823,Снизилась,стандарт,нет,5.0,5,234,0.23,Техника для красоты и здоровья,5,1,7,13,5153.0,5600.0,4895.6,21,15
215824,Снизилась,стандарт,нет,3.9,5,852,0.21,Косметика и аксесуары,3,0,2,7,4950.5,4781.0,5227.4,15,12
215825,Снизилась,премиум,да,4.3,4,951,0.2,Домашний текстиль,3,3,4,10,5063.5,5053.0,5202.6,17,15
215826,Снизилась,стандарт,да,4.6,4,177,0.24,Косметика и аксесуары,3,2,7,14,4999.0,5073.0,5192.7,17,20
215827,Снизилась,стандарт,да,4.6,3,641,0.3,Косметика и аксесуары,4,1,5,6,5108.5,4900.0,5419.2,21,11
215828,Снизилась,стандарт,да,5.3,4,191,0.3,Товары для детей,4,4,3,16,4405.0,5240.0,5259.1,10,14
215829,Снизилась,стандарт,да,4.9,4,600,0.13,Товары для детей,4,4,5,7,5636.5,4633.0,6636.2,14,19
215830,Снизилась,стандарт,да,5.1,5,185,0.18,Кухонная посуда,4,5,5,14,4432.0,5311.0,5323.8,19,8
215831,Снизилась,премиум,да,4.1,3,1030,0.23,Домашний текстиль,4,2,6,4,4653.0,4572.0,4712.8,17,18
215832,Снизилась,стандарт,нет,4.1,3,206,0.99,Товары для детей,4,4,3,4,5065.5,4662.0,5545.2,14,10
215833,Снизилась,стандарт,да,4.8,4,410,0.17,Домашний текстиль,6,2,7,9,5919.0,5204.0,5428.9,14,19
215834,Снизилась,премиум,да,3.8,4,629,0.14,Техника для красоты и здоровья,4,1,7,16,5068.5,4635.0,5574.2,15,13
215835,Снизилась,стандарт,да,3.5,3,370,0.25,Товары для детей,2,2,4,9,4862.0,5213.0,4687.8,21,14
215836,Снизилась,стандарт,да,4.8,4,823,0.13,Техника для красоты и здоровья,2,4,5,7,5169.0,4992.0,5452.4,12,10
215837,Снизилась,премиум,да,4.9,3,888,0.14,Техника для красоты и здоровья,3,1,6,9,4893.0,5268.0,4698.0,15,18
215838,Снизилась,стандарт,нет,6.3,4,582,0.14,Косметика и аксесуары,5,1,6,13,5193.0,4932.0,5549.2,17,13
215839,Снизилась,премиум,да,2.6,4,1048,0.14,Техника для красоты и здоровья,3,0,2,12,4987.0,4582.0,5468.0,13,13
215840,Снизилась,стандарт,да,3.9,5,869,0.24,Кухонная посуда,5,1,4,11,5280.5,5351.0,5349.4,17,22
215841,Снизилась,стандарт,да,6.3,4,320,0.12,Мелкая бытовая техника и электроника,5,4,4,10,6588.5,5621.0,7557.0,9,12
215842,Снизилась,премиум,да,4.3,3,1036,0.94,Товары для детей,4,2,3,9,4408.0,4642.0,4740.8,8,10
215843,Снизилась,стандарт,да,5.5,3,930,0.14,Техника для красоты и здоровья,5,1,6,10,5201.5,4579.0,5871.0,14,9
215844,Снизилась,премиум,да,4.3,4,1041,0.99,Кухонная посуда,4,1,6,6,5339.0,4880.0,5866.8,9,14
215845,Снизилась,стандарт,да,4.7,4,608,0.95,Техника для красоты и здоровья,5,1,2,10,5514.5,5120.0,5986.4,10,18
215846,Прежний уровень,стандарт,нет,5.7,4,169,0.14,Техника для красоты и здоровья,2,1,4,12,5419.0,4956.0,5147.3,17,14
215847,Прежний уровень,стандарт,да,4.7,5,966,0.15,Товары для детей,3,1,8,15,4312.0,4700.0,4778.7,18,8
215848,Прежний уровень,премиум,да,5.4,5,645,0.28,Мелкая бытовая техника и электроника,3,3,4,10,5496.5,4952.0,6098.4,18,11
215849,Прежний уровень,стандарт,да,4.9,4,399,0.25,Товары для детей,4,3,3,5,4307.0,4453.0,4563.1,18,15
215850,Прежний уровень,стандарт,да,5.4,4,267,0.15,Техника для красоты и здоровья,5,1,1,7,4009.0,4783.0,4809.8,19,16
215851,Прежний уровень,стандарт,да,4.1,4,530,0.26,Домашний текстиль,2,5,4,13,4903.5,5316.0,4676.0,17,11
215852,Прежний уровень,стандарт,да,5.8,3,478,0.24,Домашний текстиль,5,5,4,8,5629.0,4837.0,6445.4,14,7
215853,Прежний уровень,премиум,да,3.3,4,890,0.11,Косметика и аксесуары,4,1,3,11,5204.0,4865.0,5627.8,7,14
215854,Прежний уровень,стандарт,нет,6.6,3,830,0.14,Товары для детей,3,0,6,10,4077.0,4953.0,4966.2,12,8
215855,Прежний уровень,стандарт,да,5.5,5,149,0.2,Кухонная посуда,3,2,6,6,5634.5,4682.0,6590.0,21,8
215856,Прежний уровень,стандарт,да,4.3,4,543,0.17,Техника для красоты и здоровья,6,3,5,11,3652.0,4376.0,4409.9,13,20
215857,Прежний уровень,премиум,да,4.3,4,667,0.28,Мелкая бытовая техника и электроника,3,0,4,13,4074.5,5009.0,3394.6,19,14
215858,Прежний уровень,стандарт,да,5.5,4,510,0.15,Мелкая бытовая техника и электроника,2,4,7,16,5170.5,4347.0,6014.2,20,6
215859,Прежний уровень,премиум,да,4.4,3,1049,0.14,Товары для детей,3,2,3,11,5110.0,4792.0,4964.4,14,23
215860,Прежний уровень,стандарт,да,5.5,5,242,0.21,Кухонная посуда,5,4,4,11,4204.5,4614.0,3979.6,18,19
215861,Прежний уровень,стандарт,да,4.5,4,908,0.13,Товары для детей,5,4,5,7,4664.0,4904.0,5002.0,8,14
215862,Прежний уровень,стандарт,да,5.8,4,408,0.16,Мелкая бытовая техника и электроника,4,2,3,12,5330.0,5222.0,5553.6,12,21
215863,Прежний уровень,стандарт,нет,4.6,4,900,0.16,Мелкая бытовая техника и электроника,5,0,8,8,4862.0,4985.0,4885.4,18,20
215864,Прежний уровень,стандарт,да,5.8,4,490,0.16,Мелкая бытовая техника и электроника,2,4,5,16,4978.0,4774.0,5284.8,11,12
215865,Прежний уровень,стандарт,нет,4.3,5,401,0.28,Техника для красоты и здоровья,5,0,4,10,5051.0,5388.0,5473.5,11,11
215866,Прежний уровень,стандарт,да,3.3,4,945,0.24,Домашний текстиль,3,3,4,13,4726.0,4852.0,4746.8,17,20
215867,Прежний уровень,стандарт,да,5.4,4,777,0.25,Техника для красоты и здоровья,2,3,6,14,5141.0,5313.0,5420.5,13,14
215868,Прежний уровень,стандарт,да,4.9,5,851,0.11,Косметика и аксесуары,3,0,4,9,5149.5,5265.0,5179.4,17,16
215869,Прежний уровень,стандарт,да,5.4,4,559,0.17,Домашний текстиль,5,5,5,12,4965.5,4370.0,5611.6,16,19
215870,Прежний уровень,стандарт,да,5.7,4,803,0.25,Домашний текстиль,5,4,6,5,4345.0,4795.0,4085.0,18,11
215871,Прежний уровень,премиум,нет,4.8,3,675,0.11,Кухонная посуда,2,1,7,4,5228.0,5468.0,5150.0,14,21
215872,Прежний уровень,стандарт,нет,5.1,4,490,0.17,Домашний текстиль,3,4,5,14,6139.0,4864.0,7374.0,16,7
215873,Прежний уровень,стандарт,да,4.2,4,769,0.11,Товары для детей,6,1,2,11,4526.0,5041.0,5101.9,16,17
215874,Прежний уровень,стандарт,да,4.1,5,626,0.15,Техника для красоты и здоровья,4,2,4,16,3753.0,5173.0,5111.5,14,13
215875,Прежний уровень,стандарт,нет,4.7,4,203,0.28,Косметика и аксесуары,3,2,6,10,4651.5,5139.0,4359.0,9,18
215876,Прежний уровень,премиум,да,3.8,4,280,0.32,Косметика и аксесуары,3,4,5,12,6116.5,5122.0,7108.4,14,14
215877,Прежний уровень,стандарт,да,4.1,4,349,0.17,Мелкая бытовая техника и электроника,6,5,4,9,4324.5,4665.0,4159.4,16,19
215878,Прежний уровень,стандарт,да,4.4,5,540,0.25,Товары для детей,3,2,1,12,5938.0,5494.0,5683.2,13,10
215879,Прежний уровень,стандарт,нет,5.3,4,476,0.3,Техника для красоты и здоровья,2,0,7,8,6499.0,5596.0,5846.4,22,13
215880,Прежний уровень,премиум,да,4.3,5,897,0.3,Мелкая бытовая техника и электроника,4,4,2,11,4228.0,4555.0,4074.6,15,11
215881,Прежний уровень,стандарт,да,5.1,3,709,0.3,Товары для детей,5,1,6,9,5084.0,4786.0,4955.3,17,13
215882,Прежний уровень,стандарт,да,4.2,4,260,0.17,Мелкая бытовая техника и электроника,3,2,5,13,6127.5,5226.0,7038.8,15,14
215883,Прежний уровень,стандарт,да,4.0,4,852,0.13,Товары для детей,3,0,6,7,5173.0,5303.0,5416.1,18,6
215884,Прежний уровень,стандарт,да,4.3,5,997,0.17,Мелкая бытовая техника и электроника,5,1,3,11,4113.0,4626.0,3798.4,13,10
215885,Прежний уровень,стандарт,да,5.5,4,625,0.16,Косметика и аксесуары,3,3,7,5,5150.5,5326.0,5128.4,13,14
215886,Прежний уровень,стандарт,да,4.2,4,187,0.17,Мелкая бытовая техника и электроника,5,3,3,14,5035.0,4741.0,5419.8,11,16
215887,Прежний уровень,стандарт,нет,4.6,4,213,0.24,Домашний текстиль,6,3,9,11,4829.0,4538.0,5211.2,17,16
215888,Прежний уровень,стандарт,нет,5.2,3,228,0.11,Техника для красоты и здоровья,6,1,2,5,5252.0,4876.0,5055.7,19,16
215889,Прежний уровень,премиум,да,5.5,4,602,0.18,Товары для детей,2,3,6,11,4541.0,5315.0,5341.8,18,18
215890,Прежний уровень,стандарт,да,4.4,5,870,0.3,Мелкая бытовая техника и электроника,6,2,3,15,4853.0,4859.0,4977.8,11,12
215891,Прежний уровень,стандарт,да,4.8,4,795,0.21,Домашний текстиль,4,5,7,16,4477.0,5086.0,4079.2,15,19
215892,Прежний уровень,стандарт,да,5.8,4,442,0.17,Мелкая бытовая техника и электроника,3,3,3,6,6274.5,5124.0,7401.6,11,13
215893,Прежний уровень,стандарт,нет,4.4,4,639,0.13,Мелкая бытовая техника и электроника,2,4,2,10,4936.5,5016.0,4997.6,22,14
215894,Снизилась,стандарт,да,3.6,4,785,0.3,Мелкая бытовая техника и электроника,2,1,3,11,6149.0,5236.0,5487.3,18,22
215895,Снизилась,стандарт,нет,4.4,5,517,0.23,Товары для детей,1,2,5,11,3130.0,4382.0,4345.5,11,12
215896,Снизилась,стандарт,нет,4.3,4,460,0.16,Техника для красоты и здоровья,2,1,3,6,4828.0,4822.0,4952.8,13,9
215897,Снизилась,стандарт,да,3.9,4,627,0.24,Товары для детей,3,3,7,8,5004.5,4460.0,5606.4,17,12
215898,Снизилась,стандарт,да,5.5,4,703,0.14,Мелкая бытовая техника и электроника,2,1,3,7,3428.0,4346.0,4353.6,18,11
215899,Снизилась,стандарт,нет,5.0,4,136,0.27,Товары для детей,3,4,4,17,4998.0,5230.0,5329.5,11,18
215900,Снизилась,стандарт,да,4.8,4,907,0.3,Косметика и аксесуары,2,1,1,6,5005.5,5241.0,4931.4,13,14
215901,Снизилась,стандарт,нет,3.9,5,600,0.17,Домашний текстиль,1,7,4,10,4606.0,5047.0,4353.8,18,20
215902,Снизилась,стандарт,да,3.3,3,871,0.2,Техника для красоты и здоровья,2,4,2,17,5439.0,4818.0,6107.2,17,8
215903,Снизилась,стандарт,да,5.6,5,574,0.28,Домашний текстиль,3,2,3,9,4502.0,4483.0,4615.1,16,6
215904,Снизилась,премиум,да,5.5,5,982,0.94,Мелкая бытовая техника и электроника,3,1,8,10,5118.5,5204.0,5174.4,18,19
215905,Снизилась,стандарт,да,4.3,4,324,0.14,Техника для красоты и здоровья,2,7,4,4,5314.0,5160.0,5310.1,18,20
215906,Снизилась,стандарт,да,5.2,5,373,0.14,Домашний текстиль,1,4,3,8,4751.0,5102.0,4576.8,13,14
215907,Снизилась,стандарт,да,6.6,3,839,0.24,Косметика и аксесуары,3,3,4,15,4830.0,4779.0,4915.8,14,11
215908,Снизилась,премиум,нет,4.0,4,845,0.12,Домашний текстиль,2,7,6,5,4396.0,4933.0,4991.4,10,12
215909,Снизилась,премиум,да,4.9,4,475,0.94,Косметика и аксесуары,2,3,5,10,4496.0,4566.0,4687.1,19,14
215910,Снизилась,стандарт,нет,3.9,3,509,0.95,Косметика и аксесуары,2,6,4,5,5360.0,4874.0,5911.2,11,17
215911,Снизилась,стандарт,нет,5.4,4,252,0.25,Косметика и аксесуары,3,4,5,11,4597.0,5068.0,4318.8,18,14
215912,Снизилась,премиум,да,3.3,3,835,0.26,Товары для детей,4,2,4,9,5356.5,4914.0,5870.0,12,13
215913,Снизилась,стандарт,нет,4.0,4,243,0.21,Косметика и аксесуары,2,2,6,13,4640.0,4995.0,5078.1,16,12
215914,Снизилась,стандарт,да,3.6,4,641,0.24,Домашний текстиль,4,5,5,15,5642.0,5416.0,5575.7,13,15
215915,Снизилась,стандарт,да,4.7,3,684,0.14,Техника для красоты и здоровья,3,4,4,7,3378.0,4386.0,4381.6,15,16
215916,Снизилась,премиум,да,4.3,3,881,0.16,Техника для красоты и здоровья,2,2,5,11,4708.0,4714.0,4832.8,18,12
